date,item_id,category,price,temperature,is_weekend,is_holiday,units_sold
2021-01-01,ITEM_001,Mains,25.0,28.203254246085116,1,1,50
2021-01-01,ITEM_002,Mains,15.0,28.203254246085116,1,1,43
2021-01-01,ITEM_003,Mains,18.0,28.203254246085116,1,1,40
2021-01-01,ITEM_004,Mains,14.0,28.203254246085116,1,1,24
2021-01-01,ITEM_005,Mains,28.0,28.203254246085116,1,1,23
2021-01-01,ITEM_006,Mains,16.0,28.203254246085116,1,1,24
2021-01-01,ITEM_007,Appetizers,12.0,28.203254246085116,1,1,51
2021-01-01,ITEM_008,Appetizers,9.0,28.203254246085116,1,1,17
2021-01-01,ITEM_009,Appetizers,8.0,28.203254246085116,1,1,40
2021-01-01,ITEM_010,Appetizers,6.0,28.203254246085116,1,1,62
2021-01-01,ITEM_011,Desserts,8.0,28.203254246085116,1,1,37
2021-01-01,ITEM_012,Desserts,9.0,28.203254246085116,1,1,44
2021-01-01,ITEM_013,Desserts,7.0,28.203254246085116,1,1,30
2021-01-01,ITEM_014,Desserts,8.5,28.203254246085116,1,1,24
2021-01-01,ITEM_015,Beverages,7.0,28.203254246085116,1,1,55
2021-01-01,ITEM_016,Beverages,8.0,28.203254246085116,1,1,65
2021-01-01,ITEM_017,Beverages,8.0,28.203254246085116,1,1,48
2021-01-01,ITEM_018,Beverages,4.0,28.203254246085116,1,1,24
2021-01-01,ITEM_019,Beverages,3.5,28.203254246085116,1,1,95
2021-01-02,ITEM_001,Mains,25.0,24.920267744779373,1,0,28
2021-01-02,ITEM_002,Mains,15.0,24.920267744779373,1,0,35
2021-01-02,ITEM_003,Mains,18.0,24.920267744779373,1,0,16
2021-01-02,ITEM_004,Mains,14.0,24.920267744779373,1,0,26
2021-01-02,ITEM_005,Mains,28.0,24.920267744779373,1,0,14
2021-01-02,ITEM_006,Mains,16.0,24.920267744779373,1,0,19
2021-01-02,ITEM_007,Appetizers,12.0,24.920267744779373,1,0,52
2021-01-02,ITEM_008,Appetizers,9.0,24.920267744779373,1,0,19
2021-01-02,ITEM_009,Appetizers,8.0,24.920267744779373,1,0,43
2021-01-02,ITEM_010,Appetizers,6.0,24.920267744779373,1,0,58
2021-01-02,ITEM_011,Desserts,8.0,24.920267744779373,1,0,26
2021-01-02,ITEM_012,Desserts,9.0,24.920267744779373,1,0,37
2021-01-02,ITEM_013,Desserts,7.0,24.920267744779373,1,0,9
2021-01-02,ITEM_014,Desserts,8.5,24.920267744779373,1,0,23
2021-01-02,ITEM_015,Beverages,7.0,24.920267744779373,1,0,39
2021-01-02,ITEM_016,Beverages,8.0,24.920267744779373,1,0,38
2021-01-02,ITEM_017,Beverages,8.0,24.920267744779373,1,0,28
2021-01-02,ITEM_018,Beverages,4.0,24.920267744779373,1,0,15
2021-01-02,ITEM_019,Beverages,3.5,24.920267744779373,1,0,55
2021-01-03,ITEM_001,Mains,25.0,28.750646131103995,1,0,18
2021-01-03,ITEM_002,Mains,15.0,28.750646131103995,1,0,33
2021-01-03,ITEM_003,Mains,18.0,28.750646131103995,1,0,13
2021-01-03,ITEM_004,Mains,14.0,28.750646131103995,1,0,16
2021-01-03,ITEM_005,Mains,28.0,28.750646131103995,1,0,16
2021-01-03,ITEM_006,Mains,16.0,28.750646131103995,1,0,19
2021-01-03,ITEM_007,Appetizers,12.0,28.750646131103995,1,0,48
2021-01-03,ITEM_008,Appetizers,9.0,28.750646131103995,1,0,30
2021-01-03,ITEM_009,Appetizers,8.0,28.750646131103995,1,0,42
2021-01-03,ITEM_010,Appetizers,6.0,28.750646131103995,1,0,58
2021-01-03,ITEM_011,Desserts,8.0,28.750646131103995,1,0,21
2021-01-03,ITEM_012,Desserts,9.0,28.750646131103995,1,0,32
2021-01-03,ITEM_013,Desserts,7.0,28.750646131103995,1,0,27
2021-01-03,ITEM_014,Desserts,8.5,28.750646131103995,1,0,22
2021-01-03,ITEM_015,Beverages,7.0,28.750646131103995,1,0,39
2021-01-03,ITEM_016,Beverages,8.0,28.750646131103995,1,0,37
2021-01-03,ITEM_017,Beverages,8.0,28.750646131103995,1,0,37
2021-01-03,ITEM_018,Beverages,4.0,28.750646131103995,1,0,20
2021-01-03,ITEM_019,Beverages,3.5,28.750646131103995,1,0,51
2021-01-04,ITEM_001,Mains,25.0,33.03670478312522,0,0,9
2021-01-04,ITEM_002,Mains,15.0,33.03670478312522,0,0,19
2021-01-04,ITEM_003,Mains,18.0,33.03670478312522,0,0,15
2021-01-04,ITEM_004,Mains,14.0,33.03670478312522,0,0,10
2021-01-04,ITEM_005,Mains,28.0,33.03670478312522,0,0,12
2021-01-04,ITEM_006,Mains,16.0,33.03670478312522,0,0,12
2021-01-04,ITEM_007,Appetizers,12.0,33.03670478312522,0,0,14
2021-01-04,ITEM_008,Appetizers,9.0,33.03670478312522,0,0,10
2021-01-04,ITEM_009,Appetizers,8.0,33.03670478312522,0,0,29
2021-01-04,ITEM_010,Appetizers,6.0,33.03670478312522,0,0,30
2021-01-04,ITEM_011,Desserts,8.0,33.03670478312522,0,0,7
2021-01-04,ITEM_012,Desserts,9.0,33.03670478312522,0,0,17
2021-01-04,ITEM_013,Desserts,7.0,33.03670478312522,0,0,20
2021-01-04,ITEM_014,Desserts,8.5,33.03670478312522,0,0,10
2021-01-04,ITEM_015,Beverages,7.0,33.03670478312522,0,0,40
2021-01-04,ITEM_016,Beverages,8.0,33.03670478312522,0,0,32
2021-01-04,ITEM_017,Beverages,8.0,33.03670478312522,0,0,15
2021-01-04,ITEM_018,Beverages,4.0,33.03670478312522,0,0,19
2021-01-04,ITEM_019,Beverages,3.5,33.03670478312522,0,0,31
2021-01-05,ITEM_001,Mains,25.0,24.168905419413107,0,0,18
2021-01-05,ITEM_002,Mains,15.0,24.168905419413107,0,0,28
2021-01-05,ITEM_003,Mains,18.0,24.168905419413107,0,0,17
2021-01-05,ITEM_004,Mains,14.0,24.168905419413107,0,0,7
2021-01-05,ITEM_005,Mains,28.0,24.168905419413107,0,0,11
2021-01-05,ITEM_006,Mains,16.0,24.168905419413107,0,0,3
2021-01-05,ITEM_007,Appetizers,12.0,24.168905419413107,0,0,17
2021-01-05,ITEM_008,Appetizers,9.0,24.168905419413107,0,0,17
2021-01-05,ITEM_009,Appetizers,8.0,24.168905419413107,0,0,26
2021-01-05,ITEM_010,Appetizers,6.0,24.168905419413107,0,0,16
2021-01-05,ITEM_011,Desserts,8.0,24.168905419413107,0,0,9
2021-01-05,ITEM_012,Desserts,9.0,24.168905419413107,0,0,14
2021-01-05,ITEM_013,Desserts,7.0,24.168905419413107,0,0,10
2021-01-05,ITEM_014,Desserts,8.5,24.168905419413107,0,0,17
2021-01-05,ITEM_015,Beverages,7.0,24.168905419413107,0,0,15
2021-01-05,ITEM_016,Beverages,8.0,24.168905419413107,0,0,38
2021-01-05,ITEM_017,Beverages,8.0,24.168905419413107,0,0,9
2021-01-05,ITEM_018,Beverages,4.0,24.168905419413107,0,0,12
2021-01-05,ITEM_019,Beverages,3.5,24.168905419413107,0,0,41
2021-01-06,ITEM_001,Mains,25.0,24.09589329545046,0,0,16
2021-01-06,ITEM_002,Mains,15.0,24.09589329545046,0,0,13
2021-01-06,ITEM_003,Mains,18.0,24.09589329545046,0,0,15
2021-01-06,ITEM_004,Mains,14.0,24.09589329545046,0,0,15
2021-01-06,ITEM_005,Mains,28.0,24.09589329545046,0,0,9
2021-01-06,ITEM_006,Mains,16.0,24.09589329545046,0,0,3
2021-01-06,ITEM_007,Appetizers,12.0,24.09589329545046,0,0,15
2021-01-06,ITEM_008,Appetizers,9.0,24.09589329545046,0,0,6
2021-01-06,ITEM_009,Appetizers,8.0,24.09589329545046,0,0,15
2021-01-06,ITEM_010,Appetizers,6.0,24.09589329545046,0,0,23
2021-01-06,ITEM_011,Desserts,8.0,24.09589329545046,0,0,13
2021-01-06,ITEM_012,Desserts,9.0,24.09589329545046,0,0,25
2021-01-06,ITEM_013,Desserts,7.0,24.09589329545046,0,0,8
2021-01-06,ITEM_014,Desserts,8.5,24.09589329545046,0,0,10
2021-01-06,ITEM_015,Beverages,7.0,24.09589329545046,0,0,16
2021-01-06,ITEM_016,Beverages,8.0,24.09589329545046,0,0,31
2021-01-06,ITEM_017,Beverages,8.0,24.09589329545046,0,0,12
2021-01-06,ITEM_018,Beverages,4.0,24.09589329545046,0,0,13
2021-01-06,ITEM_019,Beverages,3.5,24.09589329545046,0,0,36
2021-01-07,ITEM_001,Mains,25.0,33.098358599514526,0,0,7
2021-01-07,ITEM_002,Mains,15.0,33.098358599514526,0,0,19
2021-01-07,ITEM_003,Mains,18.0,33.098358599514526,0,0,13
